state_abbr,year,state,expanded_medicaid,expansion_year,trump_2024,fips_state,total_plan_selections,avg_monthly_premium,avg_premium_after_aptc,pct_with_aptc,medicaid_chip_enrollment,uninsured_rate,total_population,total_uninsured,marketplace_yoy_change,marketplace_yoy_pct,growth_since_2020_pct
MA,2023,Massachusetts,True,2014.0,False,25,232621.0,502.0,219.0,74.3,1840594.0,2.58,6934075.0,179070.0,-35402.0,-13.2,-27.2
MA,2024,Massachusetts,True,2014.0,False,25,311199.0,507.0,197.0,80.5,1667221.0,2.81,7070822.0,198589.0,78578.0,33.8,-2.6
MA,2025,Massachusetts,True,2014.0,False,25,389191.0,535.0,198.0,83.3,1580723.0,,,,77992.0,25.1,21.8
MA,2026,Massachusetts,True,2014.0,False,25,403624.0,594.0,325.0,72.4,,,,,14433.0,3.7,26.3
MD,2020,Maryland,True,2014.0,False,24,158934.0,498.0,178.0,76.3,1461878.0,,,,,,0.0
MD,2021,Maryland,True,2014.0,False,24,166038.0,439.0,182.0,73.3,1582312.0,6.09,6059298.0,369269.0,7104.0,4.5,4.5
MD,2022,Maryland,True,2014.0,False,24,181603.0,447.0,158.0,78.6,1685151.0,6.07,6073039.0,368393.0,15565.0,9.4,14.3
MD,2023,Maryland,True,2014.0,False,24,182166.0,472.0,183.0,75.9,1655673.0,6.26,6087312.0,381357.0,563.0,0.3,14.6
MD,2024,Maryland,True,2014.0,False,24,213895.0,475.0,179.0,76.6,1489846.0,6.34,6167570.0,390741.0,31729.0,17.4,34.6
MD,2025,Maryland,True,2014.0,False,24,247243.0,492.0,184.0,76.4,1397431.0,,,,33348.0,15.6,55.6
MD,2026,Maryland,True,2014.0,False,24,255612.0,542.0,284.0,67.4,,,,,8369.0,3.4,60.8
ME,2020,Maine,True,2019.0,False,23,62031.0,642.0,176.0,84.2,312227.0,,,,,,0.0
ME,2021,Maine,True,2019.0,False,23,59738.0,558.0,187.0,80.7,338983.0,5.72,1357120.0,77639.0,-2293.0,-3.7,-3.7
ME,2022,Maine,True,2019.0,False,23,66095.0,554.0,163.0,83.0,368568.0,6.56,1368026.0,89783.0,6357.0,10.6,6.6
